year,mmm,month-num,mmm-yyyy,beef-produce,veal-produce,milk-lag-y-1,milk-lag-y-2,milk-lag-y-3,milk-lag-y-4,milk-lag-y-5,milk-lag-y-6,milk-lag-y-7
2009,Jul,7,Jul-2009,2271,11,15988,15715,15156,14977,14396,14257,14225
2009,Aug,8,Aug-2009,2184,11,15747,15525,15046,14891,14206,14017,14145
2009,Sep,9,Sep-2009,2234,12,15124,14871,14473,14253,13610,13466,13476
2009,Oct,10,Oct-2009,2276,12,15615,15391,14839,14609,14081,13891,13897
2009,Nov,11,Nov-2009,2016,12,15213,15016,14507,14199,13622,13464,13499
2009,Dec,12,Dec-2009,2134,13,15908,15635,15273,14851,14316,14173,14247
2010,Jan,1,Jan-2010,2082,12,16123,15980,15607,15348,14606,14394,14599
2010,Feb,2,Feb-2010,1955,11,14738,15180,14323,14248,13523,13605,13448
2010,Mar,3,Mar-2010,2211,12,16471,16462,16133,15967,15197,14763,15044
2010,Apr,4,Apr-2010,2139,11,16130,16118,15765,15535,15046,14532,14641
2010,May,5,May-2010,2087,10,16792,16703,16194,16061,15696,15029,15011
2010,Jun,6,Jun-2010,2320,11,15928,15940,15479,15329,15083,14278,14337
2010,Jul,7,Jul-2010,2230,11,16011,15988,15715,15156,14977,14396,14257
2010,Aug,8,Aug-2010,2287,11,15732,15747,15525,15046,14891,14206,14017
2010,Sep,9,Sep-2010,2252,11,15039,15124,14871,14473,14253,13610,13466
2010,Oct,10,Oct-2010,2235,11,15415,15615,15391,14839,14609,14081,13891
2010,Nov,11,Nov-2010,2236,11,15060,15213,15016,14507,14199,13622,13464
2010,Dec,12,Dec-2010,2271,12,15763,15908,15635,15273,14851,14316,14173
2011,Jan,1,Jan-2011,2123,11,16013,16123,15980,15607,15348,14606,14394
2011,Feb,2,Feb-2011,2020,11,14750,14738,15180,14323,14248,13523,13605
2011,Mar,3,Mar-2011,2266,12,16607,16471,16462,16133,15967,15197,14763
2011,Apr,4,Apr-2011,2053,10,16419,16130,16118,15765,15535,15046,14532
2011,May,5,May-2011,2132,10,17042,16792,16703,16194,16061,15696,15029
2011,Jun,6,Jun-2011,2375,11,16356,15928,15940,15479,15329,15083,14278
2011,Jul,7,Jul-2011,2134,10,16447,16011,15988,15715,15156,14977,14396
2011,Aug,8,Aug-2011,2387,11,16105,15732,15747,15525,15046,14891,14206
2011,Sep,9,Sep-2011,2215,11,15550,15039,15124,14871,14473,14253,13610
2011,Oct,10,Oct-2011,2215,11,15914,15415,15615,15391,14839,14609,14081
2011,Nov,11,Nov-2011,2149,11,15514,15060,15213,15016,14507,14199,13622
2011,Dec,12,Dec-2011,2126,11,16160,15763,15908,15635,15273,14851,14316
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
